time_ms,sensor_id,echo_us,valid,dist_cm,dist_f_cm,baseline_cm,enter_thr_cm,exit_thr_cm,danger,event
268,1,3273,1,242.2,242.2,0.0,120.0,140.0,0.0,0
552,2,4335,1,320.8,320.8,0.0,120.0,140.0,0.0,0
811,3,2126,1,157.3,157.3,0.0,120.0,140.0,0.0,0
1107,5,1522,1,112.6,112.6,0.0,120.0,140.0,1.0,1
1374,1,3319,1,245.6,242.5,0.0,120.0,140.0,0.0,0
1666,2,4310,1,318.9,320.6,0.0,120.0,140.0,0.0,0
1952,3,2145,1,158.7,157.4,0.0,120.0,140.0,0.0,0
2240,5,1489,1,110.2,112.4,0.0,120.0,140.0,1.0,0
2503,1,3364,1,248.9,243.0,0.0,120.0,140.0,0.0,0
2804,2,4348,1,321.8,320.7,0.0,120.0,140.0,0.0,0
3050,3,2106,1,155.8,157.3,0.0,120.0,140.0,0.0,0
3365,5,1517,1,112.2,112.4,0.0,120.0,140.0,1.0,0
3621,1,3315,1,245.3,243.2,0.0,120.0,140.0,0.0,0
3884,2,4417,1,326.9,321.2,0.0,120.0,140.0,0.0,0
4171,3,2116,1,156.6,157.2,0.0,120.0,140.0,0.0,0
4459,5,1502,1,111.2,112.3,0.0,120.0,140.0,1.0,0
4742,1,3539,1,261.9,244.7,0.0,120.0,140.0,0.0,0
5027,2,4465,1,330.4,321.9,0.0,120.0,140.0,0.0,0
5329,3,2133,1,157.8,157.3,0.0,120.0,140.0,0.0,0
5584,5,1480,1,109.5,112.1,0.0,120.0,140.0,1.0,0
5860,1,3366,1,249.1,245.0,0.0,120.0,140.0,0.0,0
6168,2,4242,1,313.9,321.3,0.0,120.0,140.0,0.0,0
6447,3,3678,1,272.2,166.5,0.0,120.0,140.0,0.0,0
6739,5,1464,1,108.3,111.8,0.0,120.0,140.0,1.0,0
6994,1,3323,1,245.9,245.1,0.0,120.0,140.0,0.0,0
7247,2,4336,1,320.8,321.3,0.0,120.0,140.0,0.0,0
7517,3,2111,1,156.2,165.6,0.0,120.0,140.0,0.0,0
7823,5,1510,1,111.7,111.8,0.0,120.0,140.0,1.0,0
8107,1,3416,1,252.7,245.7,0.0,120.0,140.0,0.0,0
8391,2,4588,1,339.5,322.7,0.0,120.0,140.0,0.0,0
8665,3,2077,1,153.7,164.7,0.0,120.0,140.0,0.0,0
8969,5,1496,1,110.7,111.7,0.0,120.0,140.0,1.0,0
9245,1,3307,1,244.7,245.6,0.0,120.0,140.0,0.0,0
9514,2,4244,1,314.0,322.0,0.0,120.0,140.0,0.0,0
9764,3,2184,1,161.6,164.4,0.0,120.0,140.0,0.0,0
10080,5,1584,1,117.2,112.2,0.0,120.0,140.0,1.0,0
10366,1,3552,1,262.8,247.0,0.0,120.0,140.0,0.0,0
10661,2,4376,1,323.9,322.2,0.0,120.0,140.0,0.0,0
10913,3,2113,1,156.4,163.8,0.0,120.0,140.0,0.0,0
11181,5,1525,1,112.8,112.2,0.0,120.0,140.0,1.0,0
11468,1,3405,1,251.9,247.4,0.0,120.0,140.0,0.0,0
11754,2,4323,1,319.9,322.0,0.0,120.0,140.0,0.0,0
12041,3,2098,1,155.2,163.1,0.0,120.0,140.0,0.0,0
12298,5,1542,1,114.1,112.4,0.0,120.0,140.0,1.0,0
12543,1,3481,1,257.6,248.2,0.0,120.0,140.0,0.0,0
12813,2,4359,1,322.6,322.0,0.0,120.0,140.0,0.0,0
13090,3,2113,1,156.3,162.6,0.0,120.0,140.0,0.0,0
13318,5,1508,1,111.6,112.3,0.0,120.0,140.0,1.0,0
13590,1,3246,1,240.2,247.6,0.0,120.0,140.0,0.0,0
13839,2,4420,1,327.1,322.4,0.0,120.0,140.0,0.0,0
14097,3,2110,1,156.2,162.1,0.0,120.0,140.0,0.0,0
14411,5,1542,1,114.1,112.4,0.0,120.0,140.0,1.0,0
14699,1,3473,1,257.0,248.3,0.0,120.0,140.0,0.0,0
14965,2,4433,1,328.0,322.9,0.0,120.0,140.0,0.0,0
15241,3,2155,1,159.5,161.8,0.0,120.0,140.0,0.0,0
15535,5,1475,1,109.2,112.2,0.0,120.0,140.0,1.0,0
15804,1,3533,1,261.4,249.4,0.0,120.0,140.0,0.0,0
16063,2,4336,1,320.8,322.7,0.0,120.0,140.0,0.0,0
16349,3,2155,1,159.4,161.7,0.0,120.0,140.0,0.0,0
16635,5,1515,1,112.1,112.2,0.0,120.0,140.0,1.0,0
16873,1,3348,1,247.8,249.2,0.0,120.0,140.0,0.0,0
17182,2,4370,1,323.4,322.8,0.0,120.0,140.0,0.0,0
17478,3,2152,1,159.3,161.5,0.0,120.0,140.0,0.0,0
17763,5,1493,1,110.4,112.0,0.0,120.0,140.0,1.0,0
18050,1,3488,1,258.1,250.0,0.0,120.0,140.0,0.0,0
18359,2,4257,1,315.0,322.2,0.0,120.0,140.0,0.0,0
18655,3,2121,1,156.9,161.1,0.0,120.0,140.0,0.0,0
18951,5,1527,1,113.0,112.1,0.0,120.0,140.0,1.0,0
19190,1,3541,1,262.0,250.9,0.0,120.0,140.0,0.0,0
19496,2,4170,1,308.6,321.1,0.0,120.0,140.0,0.0,0
19760,3,2133,1,157.9,160.8,0.0,120.0,140.0,0.0,0
20011,5,1457,1,107.8,111.8,0.0,120.0,140.0,1.0,0
20300,1,3462,1,256.2,251.3,0.0,120.0,140.0,0.0,0
20582,2,4409,1,326.3,321.5,0.0,120.0,140.0,0.0,0
20847,3,2115,1,156.5,160.5,0.0,120.0,140.0,0.0,0
21119,5,1526,0,112.9,111.8,0.0,120.0,140.0,1.0,0
21415,1,3225,1,238.6,250.3,0.0,120.0,140.0,0.0,0
21648,2,4264,1,315.5,321.0,0.0,120.0,140.0,0.0,0
21931,3,2153,1,159.3,160.4,0.0,120.0,140.0,0.0,0
22195,5,1546,1,114.4,112.0,0.0,120.0,140.0,1.0,0
22463,1,3270,1,242.0,249.7,0.0,120.0,140.0,0.0,0
22759,2,4507,1,333.5,322.0,0.0,120.0,140.0,0.0,0
23018,3,2134,1,157.9,160.2,0.0,120.0,140.0,0.0,0
23316,5,1499,1,110.9,111.9,0.0,120.0,140.0,1.0,0
23582,1,3438,1,254.4,250.0,0.0,120.0,140.0,0.0,0
23869,2,4466,1,330.5,322.7,0.0,120.0,140.0,0.0,0
24170,3,2110,1,156.2,159.9,0.0,120.0,140.0,0.0,0
24447,5,1522,1,112.6,112.0,0.0,120.0,140.0,1.0,0
24728,1,3414,1,252.6,250.2,0.0,120.0,140.0,0.0,0
25014,2,4330,1,320.4,322.5,0.0,120.0,140.0,0.0,0
25262,3,2059,1,152.3,159.3,0.0,120.0,140.0,0.0,0
25536,5,1561,1,115.5,112.2,0.0,120.0,140.0,1.0,0
25822,1,3364,1,249.0,250.1,0.0,191.6,211.6,0.0,0
26114,2,4298,1,318.1,322.1,0.0,260.6,280.6,0.0,0
26394,3,2197,1,162.6,159.5,0.0,120.0,140.0,0.0,0
26675,5,1528,1,113.0,112.3,0.0,120.0,140.0,1.0,0
26939,1,3438,1,254.4,250.5,251.6,191.6,211.6,0.0,0
27231,2,4400,1,325.6,322.4,320.6,260.6,280.6,0.0,0
27505,3,2134,1,157.9,159.4,156.9,120.0,140.0,0.0,0
27748,5,1505,1,111.4,112.2,106.0,120.0,140.0,1.0,0
28055,1,3479,1,257.4,251.0,251.6,191.6,211.6,0.0,0
28275,2,4277,1,316.5,322.0,320.6,260.6,280.6,0.0,0
28543,3,2134,1,157.9,159.3,156.9,120.0,140.0,0.0,0
28824,5,1511,1,111.8,112.2,106.0,120.0,140.0,1.0,0
29117,1,3340,1,247.1,250.7,251.6,191.6,211.6,0.0,0
29377,2,4242,1,313.9,321.3,320.6,260.6,280.6,0.0,0
29685,3,2107,1,155.9,159.0,156.9,120.0,140.0,0.0,0
29970,5,1552,1,114.8,112.4,106.0,120.0,140.0,1.0,0
30241,1,3440,1,254.5,251.0,251.6,191.6,211.6,0.0,0
30510,2,4449,1,329.2,321.9,320.6,260.6,280.6,0.0,0
30756,3,2096,1,155.1,158.7,156.9,120.0,140.0,0.0,0
31030,5,1510,1,111.7,112.4,106.0,120.0,140.0,1.0,0
31324,1,3458,1,255.9,251.4,251.6,191.6,211.6,0.0,0
31609,2,4539,1,335.9,323.1,320.6,260.6,280.6,0.0,0
31873,3,2090,1,154.6,158.4,156.9,120.0,140.0,0.0,0
32142,5,1492,1,110.4,112.2,106.0,120.0,140.0,1.0,0
32423,1,3333,1,246.6,251.0,251.6,191.6,211.6,0.0,0
32699,2,4266,1,315.7,322.5,320.6,260.6,280.6,0.0,0
32950,3,2118,1,156.8,158.3,156.9,120.0,140.0,0.0,0
33233,5,1478,1,109.4,112.0,106.0,120.0,140.0,1.0,0
33507,1,3432,1,254.0,251.3,251.6,191.6,211.6,0.0,0
33781,2,4224,1,312.6,321.7,320.6,260.6,280.6,0.0,0
34037,3,2095,1,155.1,158.0,156.9,120.0,140.0,0.0,0
34292,5,1520,1,112.4,112.0,106.0,120.0,140.0,1.0,0
34563,1,3255,1,240.9,250.4,251.6,191.6,211.6,0.0,0
34832,2,4415,1,326.7,322.1,320.6,260.6,280.6,0.0,0
35122,3,2103,1,155.6,157.8,156.9,120.0,140.0,0.0,0
35389,5,1527,1,113.0,112.1,106.0,120.0,140.0,1.0,0
35635,1,3447,1,255.1,250.8,251.6,191.6,211.6,0.0,0
35886,2,4378,1,323.9,322.2,320.6,260.6,280.6,0.0,0
36180,3,2127,1,157.4,157.8,156.9,120.0,140.0,0.0,0
36451,5,1514,1,112.1,112.1,106.0,120.0,140.0,1.0,0
36740,1,3353,1,248.1,250.6,251.6,191.6,211.6,0.0,0
36999,2,4088,1,302.5,320.6,320.6,260.6,280.6,0.0,0
37270,3,2063,1,152.6,157.4,156.9,120.0,140.0,0.0,0
37546,5,1486,1,110.0,111.9,106.0,120.0,140.0,1.0,0
37796,1,3461,1,256.1,251.0,251.6,191.6,211.6,0.0,0
38069,2,4318,1,319.5,320.6,320.6,260.6,280.6,0.0,0
38323,3,2069,1,153.1,157.0,156.9,120.0,140.0,0.0,0
38639,5,1509,1,111.7,111.9,106.0,120.0,140.0,1.0,0
38930,1,3428,1,253.7,251.2,251.6,191.6,211.6,0.0,0
39234,2,4300,1,318.2,320.4,320.6,260.6,280.6,0.0,0
39495,3,2110,1,156.1,157.0,156.9,120.0,140.0,0.0,0
39742,5,1525,1,112.9,112.0,106.0,120.0,140.0,1.0,0
40037,1,3424,1,253.4,251.4,251.6,191.6,211.6,0.0,0
40333,2,4368,1,323.2,320.6,320.6,260.6,280.6,0.0,0
40621,3,2132,1,157.8,157.0,156.9,120.0,140.0,0.0,0
40913,5,1544,1,114.3,112.2,106.0,120.0,140.0,1.0,0
41182,1,3362,1,248.8,251.2,251.6,191.6,211.6,0.0,0
41491,2,4286,1,317.2,320.3,320.6,260.6,280.6,0.0,0
41766,3,2149,1,159.0,157.2,156.9,120.0,140.0,0.0,0
42030,5,1457,1,107.8,111.8,106.0,120.0,140.0,1.0,0
42305,1,3498,1,258.8,251.8,251.6,191.6,211.6,0.0,0
42583,2,4439,1,328.5,321.0,320.6,260.6,280.6,0.0,0
42874,3,2114,0,156.4,157.2,156.9,120.0,140.0,0.0,0
43168,5,1289,1,95.4,110.5,106.0,120.0,140.0,1.0,0
43416,1,3460,1,256.1,252.2,251.6,191.6,211.6,0.0,0
43694,2,4447,1,329.1,321.6,320.6,260.6,280.6,0.0,0
43955,3,2164,1,160.1,157.4,156.9,120.0,140.0,0.0,0
44212,5,1486,1,110.0,110.5,106.0,120.0,140.0,1.0,0
44502,1,3384,1,250.4,252.0,251.6,191.6,211.6,0.0,0
44797,2,4414,1,326.7,322.0,320.6,260.6,280.6,0.0,0
45097,3,2156,1,159.5,157.6,156.9,120.0,140.0,0.0,0
45378,5,1536,1,113.7,110.7,106.0,120.0,140.0,1.0,0
45650,1,3322,1,245.8,251.5,251.6,191.6,211.6,0.0,0
45909,2,4540,1,336.0,323.1,320.6,260.6,280.6,0.0,0
